"Country","Year","Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%)","Antenatal care coverage - at least four visits (%)","Births by caesarean section (%)","Births attended by skilled health personnel (%)"
"Afghanistan"," 2016-2018","","20.9","","58.8"
"Afghanistan"," 2011-2017","","16.3","",""
"Afghanistan"," 2016","42.1","","",""
"Afghanistan"," 2010-2015","","17.8","2.7",""
"Afghanistan"," 2009-2014","","22.7","",""
"Afghanistan"," 2006-2012","","9.9","",""
"Afghanistan"," 2008-2011","","14.6","",""
"Afghanistan"," 2005-2010","","16.1","",""
"Albania"," 2017-2018","","","","99.8"
"Albania"," 2013","","","34.1",""
"Albania"," 2012-2013","","77.8","",""
"Albania"," 2009","12.9","","",""
"Albania"," 2003-2009","","66.8","",""
"Algeria"," 2013","77.2","","",""
"Algeria"," 2010-2013","","67.3","16.0","96.6"
"Algeria"," 1987-1992","","12.4","",""
"Andorra"," 2017","","","","100.0"
"Angola"," 2016","24.2","","",""
"Angola"," 2010-2016","","61.4","3.7","46.6"
"Angola"," 1994-1996","","31.5","",""
"Antigua and Barbuda"," 2017","","83.3","","100.0"
"Antigua and Barbuda"," 2014","","100.0","",""
"Antigua and Barbuda"," 2012-2013","","100.0","",""
"Antigua and Barbuda"," 2011","","100.0","",""
"Antigua and Barbuda"," 2010","","100.0","",""
"Argentina"," 2017","","","","93.9"
"Argentina"," 2009-2012","","89.8","",""
"Argentina"," 2011","","","29.1",""
"Argentina"," 2002-2005","","89.3","",""
"Armenia"," 2016","40.2","","",""
"Armenia"," 2015-2016","","","","99.8"
"Armenia"," 2010-2016","","96.0","18.0",""
"Armenia"," 2005-2010","","92.8","",""
"Armenia"," 2000-2005","","70.9","",""
"Armenia"," 1995-2000","","64.7","",""
"Australia"," 2016","","94.0","","97.0"
"Australia"," 2015","","95.0","33.3",""
"Australia"," 2014","","95.3","",""
"Australia"," 2013","","95.0","",""
"Australia"," 2012","","94.6","",""
"Australia"," 2011","","94.4","",""
"Australia"," 2010","","90.4","",""
"Australia"," 2009","","91.2","",""
"Australia"," 2008","","92.0","",""
"Australia"," 2007","","91.9","",""
"Austria"," 2017","","","","98.4"
"Austria"," 2016","","","29.5",""
"Azerbaijan"," 2017","","","","99.8"
"Azerbaijan"," 2015","","","27.6",""
"Azerbaijan"," 2006-2011","","66.1","",""
"Azerbaijan"," 2001-2006","","45.2","",""
"Azerbaijan"," 1996-2001","","30.4","",""
