country,2005,2006,2007,2008,2009,2010
Afghanistan,125,,,90.9,,31.3
Albania,2.04,,,0.588,,0.455
Algeria,4.54,,,2.94,,2.33
Angola,83.3,,,34.5,,25.6
Argentina,1.89,,,1.67,,1.79
Armenia,1.02,,,0.526,,0.588
Australia,0.0752,,,0.135,,0.123
Austria,0.0465,,,0.0699,,0.0549
Azerbaijan,1.49,,,0.833,,1
Bahamas,0.37,,,1,,0.909
Bahrain,0.769,,,0.455,,0.556
Bangladesh,19.6,,,9.09,,5.88
Barbados,0.227,,,0.909,,0.769
Belarus,0.208,,,0.196,,0.0614
Belgium,0.128,,,0.0917,,0.133
Belize,1.79,,,3.03,,1.64
Benin,50,,,23.3,,18.9
Bhutan,18.2,,,5.88,,4.76
Bolivia,11.2,,,6.67,,7.14
Bosnia and Herzegovina,0.0345,,,0.107,,0.0877
Botswana,7.69,,,5.56,,4.54
Brazil,2.7,,,1.16,,1.1
Brunei,0.345,,,0.5,,0.526
Bulgaria,0.135,,,0.172,,0.17
Burkina Faso,45.5,,,35.7,,18.2
Burundi,62.5,,,40,,32.3
Cambodia,20.8,,,9.09,,6.67
Cameroon,41.7,,,28.6,,32.3
Canada,0.0909,,,0.179,,0.192
Cape Verde,8.33,,,2.86,,2.08
Central African Republic,40,,,37,,38.5
Chad,90.9,,,71.4,,66.7
Chile,0.313,,,0.5,,0.455
China,0.769,,,0.667,,0.588
Colombia,3.45,,,2.17,,2.33
Comoros,19.2,,,14.1,,14.9
"Congo, Dem. Rep.",76.9,,,41.7,,33.3
"Congo, Rep.",45.5,,,25.6,,25.6
Costa Rica,0.714,,,0.909,,0.769
Cote d'Ivoire,37,,,22.7,,18.9
Croatia,0.0952,,,0.192,,0.244
Cuba,0.714,,,0.714,,1
Cyprus,0.156,,,0.151,,0.159
Czech Republic,0.0553,,,0.118,,0.0826
Denmark,0.0562,,,0.0917,,0.222
Djibouti,28.6,,,10.8,,7.14
Dominican Republic,4.35,,,3.13,,4.17
Ecuador,5.88,,,3.7,,2.86
Egypt,4.35,,,2.63,,2.04
El Salvador,5.26,,,2.86,,2.04
Equatorial Guinea,35.7,,,13.7,,11.4
Eritrea,22.7,,,13.9,,11.6
Estonia,0.345,,,0.189,,0.0398
Ethiopia,37,,,25,,14.9
Fiji,6.25,,,0.769,,0.714
Finland,0.118,,,0.132,,0.082
France,0.145,,,0.151,,0.161
Gabon,18.9,,,9.09,,7.69
Gambia,31.3,,,20.4,,17.9
Georgia,0.909,,,0.769,,1.04
Germany,0.0521,,,0.0901,,0.0943
Ghana,22.2,,,15.2,,14.7
Greece,0.0386,,,0.0314,,0.0392
Grenada,,,,,,0.588
Guatemala,14.1,,,4.76,,5.26
Guinea,52.6,,,38.5,,33.3
Guinea-Bissau,76.9,,,55.6,,40
Guyana,11.1,,,6.67,,6.67
Haiti,22.7,,,10.8,,12.1
Honduras,10.8,,,4.17,,3.7
Hungary,0.0752,,,0.182,,0.303
