"Notes"	"State of Residence"	"State of Residence Code"	"Delivery Method"	"Delivery Method Code"	Births	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average LMP Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Average Interval Since Last Other Pregnancy Outcome (months)
	"Alabama"	"01"	"Vaginal"	"1"	37702	0.99%	26.89	38.37	38.44	3212.96	27.03	10.43	48.08	47.05
	"Alabama"	"01"	"Cesarean"	"2"	20056	0.53%	28.42	37.74	37.85	3130.68	30.25	10.69	54.75	49.04
	"Alabama"	"01"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	25.33	39.50	38.50	3161.00	27.35	9.50	36.00	Not Applicable
	"Alaska"	"02"	"Vaginal"	"1"	7822	0.21%	28.10	38.81	38.94	3440.59	26.85	10.70	43.90	49.09
	"Alaska"	"02"	"Cesarean"	"2"	2260	0.06%	30.15	37.82	38.03	3261.00	29.00	11.10	51.86	47.68
	"Alaska"	"02"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	25.75	36.33	36.33	2989.67	27.13	5.33	Not Applicable	Not Applicable
	"Arizona"	"04"	"Vaginal"	"1"	58521	1.54%	27.85	38.65	38.75	3301.80	26.58	10.69	48.57	52.55
	"Arizona"	"04"	"Cesarean"	"2"	22199	0.59%	29.73	37.92	38.02	3209.25	28.97	10.78	55.69	56.72
	"Arizona"	"04"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	26.00	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Vaginal"	"1"	24138	0.64%	26.49	38.44	38.61	3253.40	27.04	10.46	46.98	46.66
	"Arkansas"	"05"	"Cesarean"	"2"	12876	0.34%	28.03	37.86	38.07	3181.63	30.20	10.58	52.68	49.37
	"Arkansas"	"05"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	30.25	37.00	37.00	3292.50	16.60	0.00	Not Applicable	Not Applicable
	"California"	"06"	"Vaginal"	"1"	314452	8.29%	29.46	38.81	38.89	3308.85	26.12	11.77	52.38	41.03
	"California"	"06"	"Cesarean"	"2"	140464	3.70%	31.33	38.11	38.19	3241.66	28.09	12.14	58.96	43.45
	"California"	"06"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	40.50	39.00	39.00	3354.50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Vaginal"	"1"	46487	1.23%	29.05	38.76	38.83	3216.29	25.86	10.52	47.20	45.01
	"Colorado"	"08"	"Cesarean"	"2"	16397	0.43%	30.83	38.00	38.06	3097.97	27.64	10.52	52.07	43.25
	"Colorado"	"08"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	31.00	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.00	25.00	Not Applicable
	"Connecticut"	"09"	"Vaginal"	"1"	22630	0.60%	29.92	38.78	38.96	3316.96	26.10	12.45	51.62	49.18
	"Connecticut"	"09"	"Cesarean"	"2"	12089	0.32%	31.57	38.15	38.33	3248.39	28.26	12.49	57.90	52.13
	"Connecticut"	"09"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	30.00	39.60	39.60	3276.00	29.25	8.83	67.33	Not Applicable
	"Delaware"	"10"	"Vaginal"	"1"	7294	0.19%	28.38	38.63	38.83	3262.43	26.86	10.34	50.59	48.54
	"Delaware"	"10"	"Cesarean"	"2"	3325	0.09%	30.33	38.01	38.16	3224.49	29.24	10.40	57.33	52.69
	"Delaware"	"10"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	27.00	40.00	40.00	2813.00	38.00	11.00	Not Applicable	50.00
	"District of Columbia"	"11"	"Vaginal"	"1"	6303	0.17%	30.32	38.72	38.73	3236.12	25.18	10.25	50.92	45.23
	"District of Columbia"	"11"	"Cesarean"	"2"	2905	0.08%	32.00	38.06	38.07	3138.86	27.39	10.34	53.66	45.20
	"District of Columbia"	"11"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	29.50	39.00	39.00	3311.25	19.57	11.00	75.00	15.00
	"Florida"	"12"	"Vaginal"	"1"	139876	3.69%	28.47	38.61	38.73	3264.23	26.09	10.65	51.94	51.53
	"Florida"	"12"	"Cesarean"	"2"	81550	2.15%	30.29	37.96	38.12	3196.44	28.13	10.87	58.79	54.70
	"Florida"	"12"	"Unknown or Not Stated"	"9"	116	0.00%	28.44	39.00	39.06	3264.54	25.14	10.26	57.45	36.79
	"Georgia"	"13"	"Vaginal"	"1"	83218	2.19%	27.84	38.50	38.65	3230.14	26.70	11.21	49.90	46.67
	"Georgia"	"13"	"Cesarean"	"2"	42851	1.13%	29.54	37.80	38.04	3138.64	29.38	11.65	56.14	48.76
	"Georgia"	"13"	"Unknown or Not Stated"	"9"	103	0.00%	26.89	37.86	38.22	3126.01	26.81	11.52	46.11	42.24
	"Hawaii"	"15"	"Vaginal"	"1"	12408	0.33%	29.07	38.61	38.89	3245.38	26.18	10.23	49.05	58.60
	"Hawaii"	"15"	"Cesarean"	"2"	4561	0.12%	30.93	37.91	38.21	3169.18	28.04	10.67	55.97	57.16
	"Hawaii"	"15"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	22.33	39.33	39.67	3115.00	18.75	11.50	Not Applicable	Not Applicable
	"Idaho"	"16"	"Vaginal"	"1"	16270	0.43%	27.77	38.73	38.87	3316.23	26.24	11.60	42.97	46.65
	"Idaho"	"16"	"Cesarean"	"2"	5128	0.14%	29.22	37.91	38.09	3200.61	28.98	11.84	50.96	46.95
	"Idaho"	"16"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	27.80	38.67	39.00	3253.00	22.50	8.33	13.00	Not Applicable
	"Illinois"	"17"	"Vaginal"	"1"	99664	2.63%	28.96	38.57	38.73	3285.02	26.76	11.34	48.25	44.23
	"Illinois"	"17"	"Cesarean"	"2"	45099	1.19%	30.56	37.89	38.07	3205.33	29.35	11.63	53.85	45.64
	"Illinois"	"17"	"Unknown or Not Stated"	"9"	52	0.00%	30.60	38.70	38.85	3337.80	26.74	9.03	60.79	46.71
	"Indiana"	"18"	"Vaginal"	"1"	57290	1.51%	27.46	38.65	38.77	3312.34	27.01	11.22	45.27	46.41
	"Indiana"	"18"	"Cesarean"	"2"	24344	0.64%	28.92	37.90	38.01	3213.30	30.00	11.50	50.96	47.66
	"Indiana"	"18"	"Unknown or Not Stated"	"9"	12	0.00%	26.17	38.22	37.33	3488.38	25.82	5.27	30.80	Not Applicable
	"Iowa"	"19"	"Vaginal"	"1"	26516	0.70%	28.18	38.67	38.88	3365.37	26.81	11.81	43.90	45.78
	"Iowa"	"19"	"Cesarean"	"2"	11269	0.30%	29.30	37.96	38.18	3271.89	29.43	11.90	49.73	47.21
	"Iowa"	"19"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	"Kansas"	"20"	"Vaginal"	"1"	25476	0.67%	27.88	38.63	38.69	3327.63	26.69	11.13	45.10	44.03
	"Kansas"	"20"	"Cesarean"	"2"	10785	0.28%	29.21	37.94	38.01	3235.57	29.47	11.07	50.78	44.25
	"Kansas"	"20"	"Unknown or Not Stated"	"9"	Suppressed	Suppressed	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	"Kentucky"	"21"	"Vaginal"	"1"	35383	0.93%	26.96	38.47	38.72	3286.60	26.73	11.66	45.51	45.18
	"Kentucky"	"21"	"Cesarean"	"2"	18509	0.49%	28.37	37.80	38.10	3209.64	29.99	12.08	52.34	47.33
	"Kentucky"	"21"	"Unknown or Not Stated"	"9"	30	0.00%	27.17	38.74	38.81	3455.97	29.63	8.78	30.88	65.00
