"state","type","insurance","cost"
"Alabama","Vaginal_birth","with_ins"," $9,013.88"
"Alabama","Vaginal_birth","without_ins"," $4,884.44"
"Alabama","C-section","with_ins"," $12,593.60"
"Alabama","C-section","without_ins"," $7,404.07"
"Rhode Island","Vaginal_birth","with_ins"," $9,147.54"
"Rhode Island","Vaginal_birth","without_ins"," $4,987.38"
"Rhode Island","C-section","with_ins"," $13,610.95"
"Rhode Island","C-section","without_ins"," $7,939.74"
"Nebraska","Vaginal_birth","with_ins"," $9,611.30"
"Nebraska","Vaginal_birth","without_ins"," $5,223.61"
"Nebraska","C-section","with_ins"," $13,893.06"
"Nebraska","C-section","without_ins"," $8,039.19"
"Louisiana","Vaginal_birth","with_ins"," $9,887.10"
"Louisiana","Vaginal_birth","without_ins"," $5,409.55"
"Louisiana","C-section","with_ins"," $13,225.10"
"Louisiana","C-section","without_ins"," $7,791.89"
"Utah","Vaginal_birth","with_ins"," $9,919.41"
"Utah","Vaginal_birth","without_ins"," $5,454.84"
"Utah","C-section","with_ins"," $13,887.42"
"Utah","C-section","without_ins"," $8,132.89"
"Arkansas","Vaginal_birth","with_ins"," $10,062.24"
"Arkansas","Vaginal_birth","without_ins"," $5,524.18"
"Arkansas","C-section","with_ins"," $13,602.12"
"Arkansas","C-section","without_ins"," $7,989.74"
"Kansas","Vaginal_birth","with_ins"," $10,216.65"
"Kansas","Vaginal_birth","without_ins"," $5,566.41"
"Kansas","C-section","with_ins"," $14,651.73"
"Kansas","C-section","without_ins"," $8,415.16"
"Hawaii","Vaginal_birth","with_ins"," $10,332.87"
"Hawaii","Vaginal_birth","without_ins"," $5,622.85"
"Hawaii","C-section","with_ins"," $14,147.39"
"Hawaii","C-section","without_ins"," $8,160.38"
"Kentucky","Vaginal_birth","with_ins"," $10,485.97"
"Kentucky","Vaginal_birth","without_ins"," $5,647.04"
"Kentucky","C-section","with_ins"," $14,518.31"
"Kentucky","C-section","without_ins"," $8,427.77"
"Iowa","Vaginal_birth","with_ins"," $10,452.98"
