"state_of_residence","births","total_population"
"Alabama",57761,4887871
"Alaska",10086,737438
"Arizona",80723,7171646
"Arkansas",37018,3013825
"California",454920,39557045
"Colorado",62885,5695564
"Connecticut",34725,3572665
"Delaware",10621,967171
"District of Columbia",9212,702455
"Florida",221542,21299325
"Georgia",126172,10519475
"Hawaii",16972,1420491
"Idaho",21403,1754208
"Illinois",144815,12741080
"Indiana",81646,6691878
"Iowa",37785,3156145
"Kansas",36261,2911505
"Kentucky",53922,4468402
"Louisiana",59615,4659978
"Maine",12311,1338404
"Maryland",71080,6042718
"Massachusetts",69109,6902149
"Michigan",110032,9995915
"Minnesota",67344,5611179
"Mississippi",37000,2986530
"Missouri",73269,6126452
"Montana",11513,1062305
"Nebraska",25488,1929268
"Nevada",35682,3034392
"New Hampshire",11995,1356458
"New Jersey",101223,8908520
"New Mexico",23039,2095428
"New York",226238,19542209
"North Carolina",118954,10383620
"North Dakota",10636,760077
"Ohio",135134,11689442
"Oklahoma",49800,3943079
"Oregon",42188,4190713
"Pennsylvania",135673,12807060
"Rhode Island",10506,1057315
"South Carolina",56669,5084127
"South Dakota",11893,882235
"Tennessee",80751,6770010
"Texas",378624,28701845
"Utah",47209,3161105
"Vermont",5432,626299
"Virginia",99843,8517685
"Washington",86085,7535591
"West Virginia",18248,1805832
"Wisconsin",64098,5813568
"Wyoming",6562,577737
"",3791712,327167434
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
